route_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_id
LTFRB_PUJ1958,DAILY,,,,,653871,724857
LTFRB_PUJ1595,DAILY,,,,,501301,724858
LTFRB_PUJ1037,DAILY,,,,,701289,724859
LTFRB_PUJ1957,DAILY,,,,,747764,724860
LTFRB_PUJ1459,DAILY,,,,,291148,724861
LTFRB_PUB1101,DAILY,,,,,354735,724862
LTFRB_PUB1005,DAILY,,,,,262444,724863
LTFRB_PUB1108,DAILY,,,,,151512,724864
LTFRB_PUJ1070,DAILY,,,,,663485,724865
LTFRB_PUJ1765,DAILY,,,,,929098,724866
LTFRB_PUJ1668,DAILY,,,,,436099,724867
LTFRB_PUJ1362,DAILY,,,,,289442,724868
LTFRB_PUJ2084,DAILY,,,,,218607,724869
LTFRB_PUJ1616,DAILY,,,,,980104,724870
LTFRB_PUJ1640,DAILY,,,,,784142,724871
LTFRB_PUJ2314,DAILY,,,,,,724872
LTFRB_PUJ1050,DAILY,,,,,187796,724873
LTFRB_PUJ2093,DAILY,,,,,157740,724874
LTFRB_PUJ1369,DAILY,,,,,472992,724875
LTFRB_PUJ1712,DAILY,,,,,571440,724876
LTFRB_PUJ1425,DAILY,,,,,125222,724877
LTFRB_PUJ1490,DAILY,,,,,398167,724878
LTFRB_PUJ1081,DAILY,,,,,270019,724879
LTFRB_PUJ1830,DAILY,,,,,171114,724880
LTFRB_PUJ1086,DAILY,,,,,546739,724881
LTFRB_PUJ2308,DAILY,,,,,870358,724882
LTFRB_PUJ1715,DAILY,,,,,873766,724883
LTFRB_PUJ1820,DAILY,,,,,617394,724884
LTFRB_PUJ1698,DAILY,,,,,252791,724885
LTFRB_PUJ1746,DAILY,,,,,338411,724886
LTFRB_PUJ2485,DAILY,,,,,763340,724887
LTFRB_PUJ1188,DAILY,,,,,929634,724888
LTFRB_PUB1084,DAILY,,,,,515702,724889
LTFRB_PUJ1893,DAILY,,,,,590890,724890
LTFRB_PUJ1285,DAILY,,,,,179481,724891
LTFRB_PUJ1471,DAILY,,,,,333205,724892
LTFRB_PUJ1897,DAILY,,,,,730413,724893
LTFRB_PUJ1689,DAILY,,,,,160152,724894
LTFRB_PUB1038,DAILY,,,,,869957,724895
LTFRB_PUJ1446,DAILY,,,,,960427,724896
LTFRB_PUJ1152,DAILY,,,,,496029,724897
LTFRB_PUB1188,DAILY,,,,,604047,724898
LTFRB_PUB1178,DAILY,,,,,745844,724899
LTFRB_PUJ2406,DAILY,,,,,592055,724900
LTFRB_PUJ1554,DAILY,,,,,183511,724901
LTFRB_PUJ1496,DAILY,,,,,515025,724902
LTFRB_PUB1035,DAILY,,,,,144513,724903
LTFRB_PUJ2253,DAILY,,,,,880490,724904
LTFRB_PUJ1443,DAILY,,,,,486313,724905
LTFRB_PUJ1381,DAILY,,,,,303035,724906
LTFRB_PUJ2261,DAILY,,,,,139953,724907
LTFRB_PUJ2310,DAILY,,,,,891342,724908
LTFRB_PUJ1047,DAILY,,,,,750008,724909
LTFRB_PUJ1438,DAILY,,,,,420673,724910
LTFRB_PUJ2168,DAILY,,,,,252234,724911
LTFRB_PUJ1087,DAILY,,,,,400280,724912
LTFRB_PUJ2447,DAILY,,,,,831755,724913
LTFRB_PUJ1010,DAILY,,,,,467800,724914
LTFRB_PUJ2585,DAILY,,,,,772326,724915
LTFRB_PUJ2531,DAILY,,,,,679586,724916
LTFRB_PUJ2367,DAILY,,,,,580019,724917
LTFRB_PUJ1145,DAILY,,,,,554233,724918
LTFRB_PUJ2061,DAILY,,,,,676093,724919
LTFRB_PUJ2174,DAILY,,,,,626803,724920
LTFRB_PUJ1823,DAILY,,,,,512235,724921
LTFRB_PUJ1367,DAILY,,,,,386609,724922
LTFRB_PUJ1011,DAILY,,,,,780298,724923
LTFRB_PUJ2303,DAILY,,,,,420783,724924
LTFRB_PUJ2171,DAILY,,,,,168995,724925
LTFRB_PUJ2557,DAILY,,,,,809906,724926
LTFRB_PUJ1578,DAILY,,,,,963836,724927
LTFRB_PUB1079,DAILY,,,,,423815,724928
LTFRB_PUJ2436,DAILY,,,,,595562,724929
LTFRB_PUJ2474,DAILY,,,,,991385,724930
LTFRB_PUJ1429,DAILY,,,,,467868,724931
LTFRB_PUJ1952,DAILY,,,,,273188,724932
LTFRB_PUJ1980,DAILY,,,,,177729,724933
LTFRB_PUJ1772,DAILY,,,,,415911,724934
LTFRB_PUJ1542,DAILY,,,,,141258,724935
LTFRB_PUJ1727,DAILY,,,,,806733,724936
LTFRB_PUJ2327,DAILY,,,,,287057,724937
LTFRB_PUJ1530,DAILY,,,,,124151,724938
LTFRB_PUJ1770,DAILY,,,,,609014,724939
LTFRB_PUJ1759,DAILY,,,,,843908,724940
LTFRB_PUJ2516,DAILY,,,,,200817,724941
LTFRB_PUJ2566,DAILY,,,,,512520,724942
LTFRB_PUJ1445,DAILY,,,,,638103,724943
LTFRB_PUJ1956,DAILY,,,,,317009,724944
LTFRB_PUJ2538,DAILY,,,,,530997,724945
LTFRB_PUJ1222,DAILY,,,,,510584,724946
LTFRB_PUJ1717,DAILY,,,,,392799,724947
LTFRB_PUJ1111,DAILY,,,,,963412,724948
LTFRB_PUJ2218,DAILY,,,,,324429,724949
LTFRB_PUB1047,DAILY,,,,,444878,724950
LTFRB_PUJ1387,DAILY,,,,,224009,724951
LTFRB_PUJ1898,DAILY,,,,,995739,724952
LTFRB_PUJ2035,DAILY,,,,,562350,724953
LTFRB_PUJ1005,DAILY,,,,,212888,724954
LTFRB_PUJ1398,DAILY,,,,,790839,724955
LTFRB_PUJ1108,DAILY,,,,,500916,724956
LTFRB_PUJ1504,DAILY,,,,,326020,724957
LTFRB_PUJ1943,DAILY,,,,,774599,724958
LTFRB_PUJ2107,DAILY,,,,,600000,724959
LTFRB_PUJ1151,DAILY,,,,,218957,724960
LTFRB_PUJ2612,DAILY,,,,,254941,724961
LTFRB_PUJ1210,DAILY,,,,,998696,724962
LTFRB_PUJ2008,DAILY,,,,,637731,724963
LTFRB_PUJ2476,DAILY,,,,,511964,724964
LTFRB_PUJ1656,DAILY,,,,,941113,724965
LTFRB_PUJ2301,DAILY,,,,,403302,724966
LTFRB_PUJ1680,DAILY,,,,,721456,724967
LTFRB_PUJ2137,DAILY,,,,,627902,724968
LTFRB_PUJ1645,DAILY,,,,,528333,724969
LTFRB_PUJ1855,DAILY,,,,,864836,724970
LTFRB_PUJ2001,DAILY,,,,,256341,724971
LTFRB_PUJ2614,DAILY,,,,,761566,724972
LTFRB_PUJ2169,DAILY,,,,,426116,724973
LTFRB_PUJ1528,DAILY,,,,,513963,724974
LTFRB_PUJ1193,DAILY,,,,,817976,724975
LTFRB_PUJ1430,DAILY,,,,,253976,724976
LTFRB_PUJ1799,DAILY,,,,,234300,724977
LTFRB_PUJ1517,DAILY,,,,,116514,724978
LTFRB_PUB1152,DAILY,,,,,648313,724979
LTFRB_PUJ2349,DAILY,,,,,240031,724980
LTFRB_PUJ1757,DAILY,,,,,830026,724981
LTFRB_PUJ2097,DAILY,,,,,701194,724982
LTFRB_PUJ1767,DAILY,,,,,374728,724983
LTFRB_PUJ1870,DAILY,,,,,597760,724984
LTFRB_PUJ2433,DAILY,,,,,937319,724985
LTFRB_PUJ2370,DAILY,,,,,961281,724986
LTFRB_PUJ1361,DAILY,,,,,403419,724987
LTFRB_PUJ1609,DAILY,,,,,710214,724988
LTFRB_PUJ1395,DAILY,,,,,971593,724989
LTFRB_PUJ1391,DAILY,,,,,286456,724990
LTFRB_PUJ2535,DAILY,,,,,686027,724991
LTFRB_PUJ2591,DAILY,,,,,217175,724992
LTFRB_PUJ2156,DAILY,,,,,344406,724993
LTFRB_PUJ2290,DAILY,,,,,842089,724994
LTFRB_PUJ2197,DAILY,,,,,816295,724995
LTFRB_PUJ2212,DAILY,,,,,224010,724996
LTFRB_PUJ2112,DAILY,,,,,995751,724997
LTFRB_PUJ1011,DAILY,,,,,780298,724998
LTFRB_PUJ2298,DAILY,,,,,739582,724999
LTFRB_PUJ2008,DAILY,,,,,637731,725000
LTFRB_PUJ2153,DAILY,,,,,744107,725001
LTFRB_PUB1180,DAILY,,,,,292040,725002
LTFRB_PUJ1154,DAILY,,,,,742726,725003
LTFRB_PUJ1109,DAILY,,,,,568695,725004
LTFRB_PUB1092,DAILY,,,,,266830,725005
LTFRB_PUJ1730,DAILY,,,,,419417,725006
LTFRB_PUJ1904,DAILY,,,,,351641,725007
LTFRB_PUJ2414,DAILY,,,,,449868,725008
LTFRB_PUJ1890,DAILY,,,,,300428,725009
LTFRB_PUJ2235,DAILY,,,,,739608,725010
LTFRB_PUJ1060,DAILY,,,,,604757,725011
LTFRB_PUJ1080,DAILY,,,,,616749,725012
LTFRB_PUJ2214,DAILY,,,,,652682,725013
LTFRB_PUJ1537,DAILY,,,,,626937,725014
LTFRB_PUJ1175,DAILY,,,,,892394,725015
LTFRB_PUJ2309,DAILY,,,,,863744,725016
LTFRB_PUB1126,DAILY,,,,,776700,725017
LTFRB_PUJ1814,DAILY,,,,,396629,725018
LTFRB_PUB1100,DAILY,,,,,542352,725019
LTFRB_PUJ1901,DAILY,,,,,615859,725020
LTFRB_PUB1019,DAILY,,,,,513061,725021
LTFRB_PUJ1828,DAILY,,,,,967454,725022
LTFRB_PUJ2532,DAILY,,,,,559176,725023
LTFRB_PUB1070,DAILY,,,,,112631,725024
LTFRB_PUJ1072,DAILY,,,,,794825,725025
LTFRB_PUJ1888,DAILY,,,,,879107,725026
LTFRB_PUJ1892,DAILY,,,,,973324,725027
LTFRB_PUJ2046,DAILY,,,,,357123,725028
LTFRB_PUJ2322,DAILY,,,,,424137,725029
LTFRB_PUJ1133,DAILY,,,,,162977,725030
LTFRB_PUJ1739,DAILY,,,,,656835,725031
LTFRB_PUJ2432,DAILY,,,,,524391,725032
LTFRB_PUJ1412,DAILY,,,,,679151,725033
LTFRB_PUJ1812,DAILY,,,,,885668,725034
LTFRB_PUJ1263,DAILY,,,,,742566,725035
LTFRB_PUJ2334,DAILY,,,,,211590,725036
LTFRB_PUB1176,DAILY,,,,,756244,725037
LTFRB_PUJ1462,DAILY,,,,,342429,725038
LTFRB_PUJ2545,DAILY,,,,,830164,725039
LTFRB_PUJ1319,DAILY,,,,,653083,725040
LTFRB_PUJ2070,DAILY,,,,,521882,725041
LTFRB_PUB1175,DAILY,,,,,448177,725042
LTFRB_PUJ2201,DAILY,,,,,625413,725043
LTFRB_PUJ1744,DAILY,,,,,624436,725044
LTFRB_PUJ2100,DAILY,,,,,527148,725045
LTFRB_PUJ2562,DAILY,,,,,435768,725046
LTFRB_PUJ1551,DAILY,,,,,115691,725047
LTFRB_PUB1057,DAILY,,,,,349662,725048
LTFRB_PUJ2540,DAILY,,,,,278049,725049
LTFRB_PUB1158,DAILY,,,,,573171,725050
LTFRB_PUJ2101,DAILY,,,,,626918,725051
LTFRB_PUJ1913,DAILY,,,,,941608,725052
LTFRB_PUJ1709,DAILY,,,,,270252,725053
LTFRB_PUJ2560,DAILY,,,,,285841,725054
LTFRB_PUJ2108,DAILY,,,,,382988,725055
LTFRB_PUJ1168,DAILY,,,,,828743,725056
LTFRB_PUJ2281,DAILY,,,,,782744,725057
LTFRB_PUJ1485,DAILY,,,,,919891,725058
LTFRB_PUB1050,DAILY,,,,,199296,725059
LTFRB_PUJ1821,DAILY,,,,,204754,725060
LTFRB_PUJ2321,DAILY,,,,,941557,725061
LTFRB_PUB1068,DAILY,,,,,647660,725062
LTFRB_PUJ2006,DAILY,,,,,553572,725063
LTFRB_PUJ1304,DAILY,,,,,846188,725064
LTFRB_PUJ2204,DAILY,,,,,207186,725065
LTFRB_PUJ2369,DAILY,,,,,542867,725066
LTFRB_PUJ1548,DAILY,,,,,782607,725067
LTFRB_PUJ1535,DAILY,,,,,857099,725068
